dataset,error_type,baseline_count,fedavg_count,reduction
HumanEval,AssertionError,20,19,1
HumanEval,AttributeError,1,0,1
HumanEval,IndexError,1,1,0
HumanEval,NameError,4,3,1
HumanEval,SyntaxError,3,0,3
HumanEval,TimeoutError,1,0,1
HumanEval,TypeError,1,1,0
MBPP,AssertionError,42,55,0
MBPP,AttributeError,0,1,0
MBPP,IndentationError,1,0,1
MBPP,IndexError,1,0,1
MBPP,NameError,26,4,22
MBPP,RecursionError,0,1,0
MBPP,SyntaxError,17,0,17
MBPP,TypeError,6,3,3
MBPP,UnboundLocalError,1,0,1
MBPP,ValueError,1,0,1
DS1000,AssertionError,317,280,37
DS1000,AttributeError,57,40,17
DS1000,AxisError,4,1,3
DS1000,FileNotFoundError,3,0,3
DS1000,IndentationError,68,48,20
DS1000,IndexError,4,8,0
DS1000,IndexingError,2,0,2
DS1000,InvalidIndexError,1,0,1
DS1000,KeyError,19,54,0
DS1000,LinAlgError,1,0,1
DS1000,ModuleNotFoundError,2,1,1
DS1000,NameError,171,30,141
DS1000,NotFittedError,6,5,1
DS1000,NotImplementedError,2,1,1
DS1000,OverflowError,0,1,0
DS1000,QhullError,0,1,0
DS1000,RuntimeError,11,7,4
DS1000,SyntaxError,4,4,0
DS1000,TimeoutError,13,0,13
DS1000,TypeError,73,81,0
DS1000,UFuncTypeError,0,4,0
DS1000,UnidentifiedImageError,1,0,1
DS1000,ValueError,60,62,0
DS1000,return_outside_function,0,16,0
