dataset,error_type,baseline_count,federroravg_count,reduction
HumanEval,AssertionError,20,19,1
HumanEval,AttributeError,1,0,1
HumanEval,IndentationError,0,0,0
HumanEval,IndexError,1,0,1
HumanEval,NameError,4,3,1
HumanEval,SyntaxError,3,0,3
HumanEval,TimeoutError,1,0,1
HumanEval,TypeError,1,0,1
MBPP,AssertionError,42,53,0
MBPP,AttributeError,0,3,0
MBPP,IndentationError,1,0,1
MBPP,IndexError,1,0,1
MBPP,NameError,26,4,22
MBPP,SyntaxError,17,0,17
MBPP,TypeError,6,3,3
MBPP,UnboundLocalError,1,0,1
MBPP,ValueError,1,0,1
DS1000,AssertionError,317,279,38
DS1000,AttributeError,57,35,22
DS1000,AxisError,4,0,4
DS1000,FileNotFoundError,3,0,3
DS1000,IndentationError,68,59,9
DS1000,IndexError,4,7,0
DS1000,IndexingError,2,0,2
DS1000,InvalidIndexError,1,0,1
DS1000,KeyError,19,18,1
DS1000,LinAlgError,1,0,1
DS1000,ModuleNotFoundError,2,2,0
DS1000,NameError,171,14,157
DS1000,NotFittedError,6,2,4
DS1000,NotImplementedError,2,1,1
DS1000,QhullError,0,1,0
DS1000,RuntimeError,11,7,4
DS1000,SyntaxError,4,4,0
DS1000,TimeoutError,13,0,13
DS1000,TypeError,73,79,0
DS1000,UFuncTypeError,0,4,0
DS1000,UnidentifiedImageError,1,0,1
DS1000,ValueError,60,55,5
DS1000,return_outside_function,0,6,0
