dataset,error_type,baseline_count,federroravg_count,reduction
HumanEval,AssertionError,5,4,1
HumanEval,NameError,2,2,0
HumanEval,SyntaxError,1,1,0
MBPP,AssertionError,42,51,0
MBPP,IndentationError,1,0,1
MBPP,IndexError,1,2,0
MBPP,NameError,26,3,23
MBPP,SyntaxError,17,5,12
MBPP,TypeError,6,2,4
MBPP,UnboundLocalError,1,0,1
MBPP,ValueError,1,0,1
DS1000,AssertionError,79,71,8
DS1000,AttributeError,14,7,7
DS1000,AxisError,1,1,0
DS1000,FileNotFoundError,1,0,1
DS1000,IndentationError,17,16,1
DS1000,IndexError,1,3,0
DS1000,InternalError,0,5,0
DS1000,InvalidIndexError,1,0,1
DS1000,KeyError,5,6,0
DS1000,NameError,43,8,35
DS1000,NotFittedError,2,0,2
DS1000,RuntimeError,3,3,0
DS1000,SyntaxError,1,4,0
DS1000,TimeoutError,3,0,3
DS1000,TypeError,18,16,2
DS1000,ValueError,15,20,0
