dataset,task_id,status,codebleu_1st_pass
ds1000,DS0000,passed,1.0
ds1000,DS0001,hallucinated,0.3949305630461227
ds1000,DS0002,hallucinated,0.44164537718425767
ds1000,DS0003,passed,0.4644366781665614
ds1000,DS0004,hallucinated,0.22714244290141816
ds1000,DS0005,hallucinated,0.6006069755847385
ds1000,DS0006,hallucinated,0.7426108928712092
ds1000,DS0007,passed,0.8134357604143191
ds1000,DS0008,passed,0.8134357604143191
ds1000,DS0009,hallucinated,0.429932355402407
ds1000,DS0010,hallucinated,0.13981753090665355
ds1000,DS0011,hallucinated,0.32221894975607346
ds1000,DS0012,hallucinated,0.47875303719715034
ds1000,DS0013,hallucinated,0.44977410906079224
ds1000,DS0014,hallucinated,0.2833342851715214
ds1000,DS0015,hallucinated,0.26466553291934647
ds1000,DS0016,passed,0.5433044579779255
ds1000,DS0017,passed,0.307151481555841
ds1000,DS0018,passed,0.154452450992064
ds1000,DS0019,passed,0.42446695925156774
ds1000,DS0020,hallucinated,0.2958329364739184
ds1000,DS0021,hallucinated,0.2958329364739184
ds1000,DS0022,hallucinated,0.060395912521552055
ds1000,DS0023,hallucinated,0.334193401290438
ds1000,DS0024,hallucinated,0.334193401290438
ds1000,DS0025,hallucinated,0.38940326550190185
ds1000,DS0026,hallucinated,0.22202509344637988
ds1000,DS0027,hallucinated,0.1383295822550671
ds1000,DS0028,hallucinated,0.18359098015581649
ds1000,DS0029,hallucinated,0.10879636560680192
ds1000,DS0030,passed,1.0
ds1000,DS0031,passed,1.0
ds1000,DS0032,hallucinated,0.23285615289754072
ds1000,DS0033,passed,0.8549035928446462
ds1000,DS0034,passed,0.8549035928446462
ds1000,DS0035,hallucinated,0.3972099675833033
ds1000,DS0036,passed,0.6051843021228895
ds1000,DS0037,passed,0.7173306762926517
ds1000,DS0038,hallucinated,0.5058081346851606
ds1000,DS0039,hallucinated,0.40634390535636916
ds1000,DS0040,hallucinated,0.40729087505333883
ds1000,DS0041,hallucinated,0.16399624743193086
ds1000,DS0042,hallucinated,0.20664771285783723
ds1000,DS0043,hallucinated,0.2255278776459681
ds1000,DS0044,hallucinated,0.10139863990626798
ds1000,DS0045,hallucinated,0.09755248606011413
ds1000,DS0046,hallucinated,0.10139863990626798
ds1000,DS0047,hallucinated,0.3682981439721119
ds1000,DS0048,hallucinated,0.30915628134728346
ds1000,DS0049,hallucinated,0.3330826347449175
ds1000,DS0050,passed,1.0
ds1000,DS0051,passed,0.2993704092850524
ds1000,DS0052,passed,0.5361890163970519
ds1000,DS0053,passed,0.47217764404085505
ds1000,DS0054,hallucinated,0.46299022828057584
ds1000,DS0055,hallucinated,0.47092723868970254
ds1000,DS0056,hallucinated,0.3869430899533597
ds1000,DS0057,hallucinated,0.5572729218959108
ds1000,DS0058,hallucinated,0.3227131470695018
ds1000,DS0059,hallucinated,0.18858831601574558
ds1000,DS0060,hallucinated,0.22025019138350022
ds1000,DS0061,hallucinated,0.13595482141330523
ds1000,DS0062,hallucinated,0.1349350069331472
ds1000,DS0063,hallucinated,0.07032142076361174
ds1000,DS0064,hallucinated,0.1820999981752138
ds1000,DS0065,hallucinated,0.3301552163371975
ds1000,DS0066,passed,0.6201149291962104
ds1000,DS0067,hallucinated,0.3301552163371975
ds1000,DS0068,passed,0.5122889249153558
ds1000,DS0069,passed,0.36098090674968947
ds1000,DS0070,hallucinated,0.31694042517078386
ds1000,DS0071,hallucinated,0.18526348915113267
ds1000,DS0072,hallucinated,0.23216181074621575
ds1000,DS0073,hallucinated,0.2663299540977738
ds1000,DS0074,hallucinated,0.22125598061540253
ds1000,DS0075,hallucinated,0.2360142339457354
ds1000,DS0076,passed,0.6881224407881517
ds1000,DS0077,passed,0.5053838130901016
ds1000,DS0078,passed,0.6881224407881517
ds1000,DS0079,passed,0.5787978137588243
ds1000,DS0080,hallucinated,0.09020414568600839
ds1000,DS0081,hallucinated,0.06115222415621075
ds1000,DS0082,passed,0.5745434730343997
ds1000,DS0083,hallucinated,0.5722656071550608
ds1000,DS0084,hallucinated,0.3221690142951053
ds1000,DS0085,passed,0.603878171399721
ds1000,DS0086,hallucinated,0.4453371965220535
ds1000,DS0087,hallucinated,0.2530756709905636
ds1000,DS0088,hallucinated,0.4158882461792337
ds1000,DS0089,hallucinated,0.5411785942847842
ds1000,DS0090,hallucinated,0.5526451298501802
ds1000,DS0091,passed,1.0
ds1000,DS0092,passed,1.0
ds1000,DS0093,hallucinated,0.245353981656277
ds1000,DS0094,hallucinated,0.2225409557144073
ds1000,DS0095,hallucinated,0.4594800829646144
ds1000,DS0096,hallucinated,0.2214816886792586
ds1000,DS0097,passed,0.30036053574747223
ds1000,DS0098,passed,0.29492824794980027
ds1000,DS0099,hallucinated,0.23520711542423228
ds1000,DS0100,passed,0.7350922310849595
ds1000,DS0101,passed,0.7350922310849595
ds1000,DS0102,hallucinated,0.4525128027513996
ds1000,DS0103,hallucinated,0.2702937576752956
ds1000,DS0104,hallucinated,0.20846684459183717
ds1000,DS0105,hallucinated,0.33786436252743596
ds1000,DS0106,hallucinated,0.3080300664063442
ds1000,DS0107,hallucinated,0.2186571242531646
ds1000,DS0108,hallucinated,0.654777614137454
ds1000,DS0109,passed,1.0
ds1000,DS0110,passed,0.4743064325487667
ds1000,DS0111,passed,0.4360527450067204
ds1000,DS0112,passed,1.0
ds1000,DS0113,passed,0.4557666000656678
ds1000,DS0114,hallucinated,0.3501113354395141
ds1000,DS0115,hallucinated,0.26568623360633525
ds1000,DS0116,hallucinated,0.3144875003081994
ds1000,DS0117,passed,1.0
ds1000,DS0118,passed,1.0
ds1000,DS0119,passed,0.19497582459091337
ds1000,DS0120,hallucinated,0.17015739902292146
ds1000,DS0121,hallucinated,0.18337351505732988
ds1000,DS0122,hallucinated,0.11823811723331547
ds1000,DS0123,passed,0.7550754587143428
ds1000,DS0124,passed,0.7550754587143428
ds1000,DS0125,hallucinated,0.39309596825453663
ds1000,DS0126,hallucinated,0.3351229532467236
ds1000,DS0127,hallucinated,0.2676382495810973
ds1000,DS0128,hallucinated,0.2676382495810973
ds1000,DS0129,hallucinated,0.216748300753613
ds1000,DS0130,hallucinated,0.3997293392999067
ds1000,DS0131,hallucinated,0.18055533155917322
ds1000,DS0132,hallucinated,0.43746789974961464
ds1000,DS0133,hallucinated,0.2775932526242016
ds1000,DS0134,hallucinated,0.14330168042467306
ds1000,DS0135,passed,1.0
ds1000,DS0136,passed,1.0
ds1000,DS0137,passed,1.0
ds1000,DS0138,passed,1.0
ds1000,DS0139,passed,0.5794363992766471
ds1000,DS0140,passed,0.5677898395751869
ds1000,DS0141,hallucinated,0.5280137879163769
ds1000,DS0142,hallucinated,0.1333865377584016
ds1000,DS0143,passed,0.37454340576924217
ds1000,DS0144,passed,1.0
ds1000,DS0145,passed,0.37454340576924217
ds1000,DS0146,passed,0.37454340576924217
ds1000,DS0147,passed,0.6146108799651693
ds1000,DS0148,hallucinated,0.5010673101485913
ds1000,DS0149,hallucinated,0.5010673101485913
ds1000,DS0150,hallucinated,0.491808050889332
ds1000,DS0151,hallucinated,0.22028785527672717
ds1000,DS0152,hallucinated,0.2381322161279635
ds1000,DS0153,hallucinated,0.2886818782047248
