dataset,task_id,ast_parsed,syntax_error,indentation_error,structural_error,error_type,line,message,structural_details
DS1000,DS0000,True,0,0,0,,,,[]
DS1000,DS0001,True,0,0,0,,,,[]
DS1000,DS0002,True,0,0,0,,,,[]
DS1000,DS0003,True,0,0,0,,,,[]
DS1000,DS0004,False,0,1,0,IndentationError,5.0,"expected an indented block after function definition on line 4 (<unknown>, line 5)",[]
DS1000,DS0005,True,0,0,0,,,,[]
DS1000,DS0006,True,0,0,0,,,,[]
DS1000,DS0007,True,0,0,0,,,,[]
DS1000,DS0008,True,0,0,0,,,,[]
DS1000,DS0009,True,0,0,0,,,,[]
DS1000,DS0010,True,0,0,0,,,,[]
DS1000,DS0011,True,0,0,0,,,,[]
DS1000,DS0012,False,0,1,0,IndentationError,5.0,"expected an indented block after function definition on line 4 (<unknown>, line 5)",[]
DS1000,DS0013,True,0,0,0,,,,[]
DS1000,DS0014,True,0,0,0,,,,[]
DS1000,DS0015,True,0,0,0,,,,[]
DS1000,DS0016,True,0,0,0,,,,[]
DS1000,DS0017,True,0,0,0,,,,[]
DS1000,DS0018,True,0,0,0,,,,[]
DS1000,DS0019,True,0,0,0,,,,[]
DS1000,DS0020,True,0,0,0,,,,[]
DS1000,DS0021,True,0,0,0,,,,[]
DS1000,DS0022,True,0,0,0,,,,[]
DS1000,DS0023,True,0,0,0,,,,[]
DS1000,DS0024,True,0,0,0,,,,[]
DS1000,DS0025,True,0,0,0,,,,[]
DS1000,DS0026,True,0,0,0,,,,[]
DS1000,DS0027,True,0,0,0,,,,[]
DS1000,DS0028,True,0,0,0,,,,[]
DS1000,DS0029,True,0,0,0,,,,[]
DS1000,DS0030,True,0,0,0,,,,[]
DS1000,DS0031,True,0,0,0,,,,[]
DS1000,DS0032,True,0,0,0,,,,[]
DS1000,DS0033,True,0,0,0,,,,[]
DS1000,DS0034,True,0,0,0,,,,[]
DS1000,DS0035,True,0,0,0,,,,[]
DS1000,DS0036,True,0,0,0,,,,[]
DS1000,DS0037,True,0,0,0,,,,[]
DS1000,DS0038,True,0,0,0,,,,[]
DS1000,DS0039,True,0,0,0,,,,[]
DS1000,DS0040,True,0,0,0,,,,[]
DS1000,DS0041,True,0,0,0,,,,[]
DS1000,DS0042,True,0,0,0,,,,[]
DS1000,DS0043,True,0,0,0,,,,[]
DS1000,DS0044,True,0,0,0,,,,[]
DS1000,DS0045,True,0,0,0,,,,[]
DS1000,DS0046,True,0,0,0,,,,[]
DS1000,DS0047,True,0,0,0,,,,[]
DS1000,DS0048,True,0,0,0,,,,[]
DS1000,DS0049,True,0,0,0,,,,[]
DS1000,DS0050,True,0,0,0,,,,[]
DS1000,DS0051,True,0,0,0,,,,[]
DS1000,DS0052,True,0,0,0,,,,[]
DS1000,DS0053,True,0,0,0,,,,[]
DS1000,DS0054,True,0,0,0,,,,[]
DS1000,DS0055,True,0,0,0,,,,[]
DS1000,DS0056,True,0,0,0,,,,[]
DS1000,DS0057,True,0,0,0,,,,[]
DS1000,DS0058,True,0,0,0,,,,[]
DS1000,DS0059,True,0,0,0,,,,[]
DS1000,DS0060,True,0,0,0,,,,[]
DS1000,DS0061,True,0,0,0,,,,[]
DS1000,DS0062,True,0,0,0,,,,[]
DS1000,DS0063,False,0,1,0,IndentationError,5.0,"expected an indented block after function definition on line 4 (<unknown>, line 5)",[]
DS1000,DS0064,True,0,0,0,,,,[]
DS1000,DS0065,True,0,0,0,,,,[]
DS1000,DS0066,True,0,0,0,,,,[]
DS1000,DS0067,True,0,0,0,,,,[]
DS1000,DS0068,True,0,0,0,,,,[]
DS1000,DS0069,True,0,0,0,,,,[]
DS1000,DS0070,False,0,1,0,IndentationError,5.0,"expected an indented block after function definition on line 4 (<unknown>, line 5)",[]
DS1000,DS0071,False,0,1,0,IndentationError,5.0,"expected an indented block after function definition on line 4 (<unknown>, line 5)",[]
DS1000,DS0072,False,0,1,0,IndentationError,5.0,"expected an indented block after function definition on line 4 (<unknown>, line 5)",[]
DS1000,DS0073,True,0,0,0,,,,[]
DS1000,DS0074,True,0,0,0,,,,[]
DS1000,DS0075,True,0,0,0,,,,[]
DS1000,DS0076,True,0,0,0,,,,[]
DS1000,DS0077,True,0,0,0,,,,[]
DS1000,DS0078,True,0,0,0,,,,[]
DS1000,DS0079,True,0,0,0,,,,[]
DS1000,DS0080,True,0,0,0,,,,[]
DS1000,DS0081,True,0,0,0,,,,[]
DS1000,DS0082,True,0,0,0,,,,[]
DS1000,DS0083,True,0,0,0,,,,[]
DS1000,DS0084,True,0,0,0,,,,[]
DS1000,DS0085,True,0,0,0,,,,[]
DS1000,DS0086,True,0,0,0,,,,[]
DS1000,DS0087,False,0,1,0,IndentationError,5.0,"expected an indented block after function definition on line 4 (<unknown>, line 5)",[]
DS1000,DS0088,True,0,0,0,,,,[]
DS1000,DS0089,True,0,0,0,,,,[]
DS1000,DS0090,True,0,0,0,,,,[]
DS1000,DS0091,True,0,0,0,,,,[]
DS1000,DS0092,True,0,0,0,,,,[]
DS1000,DS0093,False,0,1,0,IndentationError,5.0,"expected an indented block after function definition on line 4 (<unknown>, line 5)",[]
DS1000,DS0094,False,0,1,0,IndentationError,5.0,"expected an indented block after function definition on line 4 (<unknown>, line 5)",[]
DS1000,DS0095,True,0,0,0,,,,[]
DS1000,DS0096,True,0,0,0,,,,[]
DS1000,DS0097,True,0,0,0,,,,[]
DS1000,DS0098,True,0,0,0,,,,[]
DS1000,DS0099,False,1,0,0,SyntaxError,5.0,"closing parenthesis ']' does not match opening parenthesis '(' (<unknown>, line 5)",[]
DS1000,DS0100,True,0,0,0,,,,[]
DS1000,DS0101,True,0,0,0,,,,[]
DS1000,DS0102,False,0,1,0,IndentationError,5.0,"expected an indented block after function definition on line 4 (<unknown>, line 5)",[]
DS1000,DS0103,True,0,0,0,,,,[]
DS1000,DS0104,True,0,0,0,,,,[]
DS1000,DS0105,True,0,0,0,,,,[]
DS1000,DS0106,True,0,0,0,,,,[]
DS1000,DS0107,True,0,0,0,,,,[]
DS1000,DS0108,True,0,0,0,,,,[]
DS1000,DS0109,True,0,0,0,,,,[]
DS1000,DS0110,True,0,0,0,,,,[]
DS1000,DS0111,True,0,0,0,,,,[]
DS1000,DS0112,True,0,0,0,,,,[]
DS1000,DS0113,True,0,0,0,,,,[]
DS1000,DS0114,False,0,1,0,IndentationError,5.0,"expected an indented block after function definition on line 4 (<unknown>, line 5)",[]
DS1000,DS0115,True,0,0,0,,,,[]
DS1000,DS0116,True,0,0,0,,,,[]
DS1000,DS0117,True,0,0,0,,,,[]
DS1000,DS0118,True,0,0,0,,,,[]
DS1000,DS0119,True,0,0,0,,,,[]
DS1000,DS0120,False,0,1,0,IndentationError,7.0,"expected an indented block after function definition on line 6 (<unknown>, line 7)",[]
DS1000,DS0121,True,0,0,0,,,,[]
DS1000,DS0122,True,0,0,0,,,,[]
DS1000,DS0123,True,0,0,0,,,,[]
DS1000,DS0124,True,0,0,0,,,,[]
DS1000,DS0125,True,0,0,0,,,,[]
DS1000,DS0126,True,0,0,0,,,,[]
DS1000,DS0127,True,0,0,0,,,,[]
DS1000,DS0128,True,0,0,0,,,,[]
DS1000,DS0129,True,0,0,0,,,,[]
DS1000,DS0130,True,0,0,0,,,,[]
DS1000,DS0131,True,0,0,0,,,,[]
DS1000,DS0132,False,0,1,0,IndentationError,5.0,"expected an indented block after function definition on line 4 (<unknown>, line 5)",[]
DS1000,DS0133,True,0,0,0,,,,[]
DS1000,DS0134,True,0,0,0,,,,[]
DS1000,DS0135,True,0,0,0,,,,[]
DS1000,DS0136,True,0,0,0,,,,[]
DS1000,DS0137,True,0,0,0,,,,[]
DS1000,DS0138,True,0,0,0,,,,[]
DS1000,DS0139,True,0,0,0,,,,[]
DS1000,DS0140,True,0,0,0,,,,[]
DS1000,DS0141,True,0,0,0,,,,[]
DS1000,DS0142,True,0,0,0,,,,[]
DS1000,DS0143,True,0,0,0,,,,[]
DS1000,DS0144,True,0,0,0,,,,[]
DS1000,DS0145,True,0,0,0,,,,[]
DS1000,DS0146,True,0,0,0,,,,[]
DS1000,DS0147,True,0,0,0,,,,[]
DS1000,DS0148,True,0,0,0,,,,[]
DS1000,DS0149,True,0,0,0,,,,[]
DS1000,DS0150,True,0,0,0,,,,[]
DS1000,DS0151,True,0,0,0,,,,[]
DS1000,DS0152,True,0,0,0,,,,[]
DS1000,DS0153,True,0,0,0,,,,[]
DS1000,DS0154,True,0,0,0,,,,[]
DS1000,DS0155,True,0,0,0,,,,[]
DS1000,DS0156,True,0,0,0,,,,[]
DS1000,DS0157,True,0,0,0,,,,[]
DS1000,DS0158,True,0,0,0,,,,[]
