error_type,baseline_count,fedavg_count,federroravg_count,reduction
AssertionError,379,364,365,14
AttributeError,58,43,40,18
AxisError,4,1,0,4
FileNotFoundError,3,0,0,3
IndentationError,69,48,60,9
IndexError,6,9,9,0
IndexingError,2,0,0,2
InvalidIndexError,1,0,0,1
KeyError,19,54,18,1
LinAlgError,1,0,0,1
ModuleNotFoundError,2,1,2,0
NameError,201,56,40,161
NotFittedError,6,5,2,4
NotImplementedError,2,1,1,1
OverflowError,0,1,0,0
QhullError,0,1,1,0
RecursionError,0,1,0,0
RuntimeError,11,7,7,4
SyntaxError,24,4,4,20
TimeoutError,14,0,0,14
TypeError,80,85,84,0
UFuncTypeError,0,4,4,0
UnboundLocalError,1,0,0,1
UnidentifiedImageError,1,0,0,1
ValueError,61,62,55,6
return_outside_function,0,16,6,0
