error_type,baseline_count,fedavg_count,federroravg_count,reduction
AssertionError,317,280,279,38
AttributeError,57,40,35,22
AxisError,4,1,0,4
FileNotFoundError,3,0,0,3
IndentationError,68,48,59,9
IndexError,4,8,7,0
IndexingError,2,0,0,2
InvalidIndexError,1,0,0,1
KeyError,19,54,18,1
LinAlgError,1,0,0,1
ModuleNotFoundError,2,1,2,0
NameError,171,30,14,157
NotFittedError,6,5,2,4
NotImplementedError,2,1,1,1
OverflowError,0,1,0,0
QhullError,0,1,1,0
RuntimeError,11,7,7,4
SyntaxError,4,4,4,0
TimeoutError,13,0,0,13
TypeError,73,81,79,0
UFuncTypeError,0,4,4,0
UnidentifiedImageError,1,0,0,1
ValueError,60,62,55,5
return_outside_function,0,16,6,0
