dataset,error_type,baseline_count,fedavg_count,federroravg_count,reduction
HumanEval,AssertionError,20,29,33,0
HumanEval,AttributeError,1,2,2,0
HumanEval,IndentationError,0,0,1,0
HumanEval,IndexError,1,1,2,0
HumanEval,NameError,4,22,22,0
HumanEval,SyntaxError,3,0,0,3
HumanEval,TimeoutError,1,0,0,1
HumanEval,TypeError,1,1,2,0
MBPP,AssertionError,42,55,53,0
MBPP,AttributeError,0,1,3,0
MBPP,IndentationError,1,0,0,1
MBPP,IndexError,1,0,0,1
MBPP,NameError,26,4,4,22
MBPP,RecursionError,0,1,0,0
MBPP,SyntaxError,17,0,0,17
MBPP,TypeError,6,3,3,3
MBPP,UnboundLocalError,1,0,0,1
MBPP,ValueError,1,0,0,1
DS1000,AssertionError,317,280,279,38
DS1000,AttributeError,57,40,35,22
DS1000,AxisError,4,1,0,4
DS1000,FileNotFoundError,3,0,0,3
DS1000,IndentationError,68,48,59,9
DS1000,IndexError,4,8,7,0
DS1000,IndexingError,2,0,0,2
DS1000,InvalidIndexError,1,0,0,1
DS1000,KeyError,19,54,18,1
DS1000,LinAlgError,1,0,0,1
DS1000,ModuleNotFoundError,2,1,2,0
DS1000,NameError,171,30,14,157
DS1000,NotFittedError,6,5,2,4
DS1000,NotImplementedError,2,1,1,1
DS1000,OverflowError,0,1,0,0
DS1000,QhullError,0,1,1,0
DS1000,RuntimeError,11,7,7,4
DS1000,SyntaxError,4,4,4,0
DS1000,TimeoutError,13,0,0,13
DS1000,TypeError,73,81,79,0
DS1000,UFuncTypeError,0,4,4,0
DS1000,UnidentifiedImageError,1,0,0,1
DS1000,ValueError,60,62,55,5
DS1000,return_outside_function,0,16,6,0
