Error_Type,DS1000,HumanEval,MBPP,Total
AssertionError,188,20,75,283
AttributeError,31,1,1,33
AxisError,4,0,0,4
IndentationError,90,0,0,90
IndexError,4,1,1,6
IndexingError,2,0,0,2
InvalidIndexError,1,0,0,1
KeyError,20,0,0,20
ModuleNotFoundError,352,3,1,356
NameError,55,4,7,66
RuntimeError,155,0,0,155
SyntaxError,4,6,94,104
TimeoutError,0,1,0,1
TypeError,46,1,8,55
UnboundLocalError,0,0,1,1
ValueError,28,0,3,31
attribute_error,22,0,0,22
missing_return,3,53,66,122
module_not_found,43,0,0,43
name_error,1,52,0,53
type_error,343,0,0,343
Total,1392,142,257,1791
