dataset,task_id,lib_status,lib_info,generated_code,patched_code,error_sources,error_types,error_lines
mbpp,602,passed,"{'libapi_analyzed': True, 'name_error': 0, 'attribute_error': 0, 'module_not_found': 0, 'total_libapi_errors': 0, 'libapi_details': []}","def first_repeated_char(str1):
    seen = set()
    for char in str1:
        if char in seen:
            return char
        seen.add(char)
    return None

# Example usage:
print(first_repeated_char(""programming""))  # Output: 'r'
print(first_repeated_char(""abcdefg""))     # Output: None","def first_repeated_char(str1):
    seen = set()
    for char in str1:
        if char in seen:
            return char
        seen.add(char)
    return None

# Example usage:
print(first_repeated_char(""programming""))  # Output: 'r'
print(first_repeated_char(""abcdefg""))     # Output: None",,,
mbpp,603,passed,"{'libapi_analyzed': True, 'name_error': 0, 'attribute_error': 0, 'module_not_found': 0, 'total_libapi_errors': 0, 'libapi_details': []}","def get_ludic(n):
    # Initialize the list of ludic numbers
    ludic = [2]
    
    # Start with the first number greater than 2
    candidate = 3
    
    while True:
        # Check if the candidate is less than or equal to n
        if candidate > n:
            break
        
        # Check if the candidate is not divisible by any number in the ludic list
        for num in ludic:
            if candidate % num == 0:
                break
        else:
            # If it's not divisible, add it to the ludic list
            ludic.append(candidate)
        
        # Move to the next candidate
        candidate += 1
    
    return ludic

# Example usage:
print(get_ludic(50))  # Output: [2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37, 41, 43, 47]","def get_ludic(n):
    # Initialize the list of ludic numbers
    ludic = [2]
    
    # Start with the first number greater than 2
    candidate = 3
    
    while True:
        # Check if the candidate is less than or equal to n
        if candidate > n:
            break
        
        # Check if the candidate is not divisible by any number in the ludic list
        for num in ludic:
            if candidate % num == 0:
                break
        else:
            # If it's not divisible, add it to the ludic list
            ludic.append(candidate)
        
        # Move to the next candidate
        candidate += 1
    
    return ludic

# Example usage:
print(get_ludic(50))  # Output: [2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37, 41, 43, 47]",,,
mbpp,604,passed,"{'libapi_analyzed': True, 'name_error': 0, 'attribute_error': 0, 'module_not_found': 0, 'total_libapi_errors': 0, 'libapi_details': []}","def reverse_words(s):
    # Split the string into words
    words = s.split()
    # Reverse each word and join them back with spaces
    reversed_words = ' '.join(word[::-1] for word in words)
    return reversed_words

# Example usage:
input_string = ""Hello World""
output_string = reverse_words(input_string)
print(output_string)  # Output: ""olleH dlroW""","def reverse_words(s):
    # Split the string into words
    words = s.split()
    # Reverse each word and join them back with spaces
    reversed_words = ' '.join(word[::-1] for word in words)
    return reversed_words

# Example usage:
input_string = ""Hello World""
output_string = reverse_words(input_string)
print(output_string)  # Output: ""olleH dlroW""",,,
mbpp,605,passed,"{'libapi_analyzed': True, 'name_error': 0, 'attribute_error': 0, 'module_not_found': 0, 'total_libapi_errors': 0, 'libapi_details': []}","def prime_num(num):
    if num <= 1:
        return False
    if num <= 3:
        return True
    if num % 2 == 0 or num % 3 == 0:
        return False
    i = 5
    while i * i <= num:
        if num % i == 0 or num % (i + 2) == 0:
            return False
        i += 6
    return True","def prime_num(num):
    if num <= 1:
        return False
    if num <= 3:
        return True
    if num % 2 == 0 or num % 3 == 0:
        return False
    i = 5
    while i * i <= num:
        if num % i == 0 or num % (i + 2) == 0:
            return False
        i += 6
    return True",,,
mbpp,606,passed,"{'libapi_analyzed': True, 'name_error': 0, 'attribute_error': 0, 'module_not_found': 0, 'total_libapi_errors': 0, 'libapi_details': []}","import math

def radian_degree(degree):
    return degree * (math.pi / 180)","import math

def radian_degree(degree):
    return degree * (math.pi / 180)",,,
mbpp,607,passed,"{'libapi_analyzed': True, 'name_error': 0, 'attribute_error': 0, 'module_not_found': 0, 'total_libapi_errors': 0, 'libapi_details': []}","import re

def find_literals(text, pattern):
    match = re.search(pattern, text)
    if match:
        return match.group(), match.start(), match.end()
    else:
        return None, None, None

# Example usage:
text = ""Hello, world! This is a test.""
pattern = ""test""
result = find_literals(text, pattern)
print(result)  # Output: ('test', 21, 25)","import re

def find_literals(text, pattern):
    match = re.search(pattern, text)
    if match:
        return match.group(), match.start(), match.end()
    else:
        return None, None, None

# Example usage:
text = ""Hello, world! This is a test.""
pattern = ""test""
result = find_literals(text, pattern)
print(result)  # Output: ('test', 21, 25)",,,
mbpp,608,passed,"{'libapi_analyzed': True, 'name_error': 0, 'attribute_error': 0, 'module_not_found': 0, 'total_libapi_errors': 0, 'libapi_details': []}","def bell_Number(n):
    # Base case: the first Bell number is 1
    if n == 0:
        return 1
    
    # Initialize the Bell triangle
    bell_triangle = [[0] * (n + 1) for _ in range(n + 1)]
    bell_triangle[0][0] = 1
    
    # Fill the Bell triangle
    for i in range(1, n + 1):
        bell_triangle[i][0] = bell_triangle[i - 1][i - 1]
        for j in range(1, i + 1):
            bell_triangle[i][j] = bell_triangle[i - 1][j - 1] + bell_triangle[i][j - 1]
    
    # The nth Bell number is the last element in the last row of the Bell triangle
    return bell_triangle[n][n]

# Example usage:
print(bell_Number(5))  # Output: 153","def bell_Number(n):
    # Base case: the first Bell number is 1
    if n == 0:
        return 1
    
    # Initialize the Bell triangle
    bell_triangle = [[0] * (n + 1) for _ in range(n + 1)]
    bell_triangle[0][0] = 1
    
    # Fill the Bell triangle
    for i in range(1, n + 1):
        bell_triangle[i][0] = bell_triangle[i - 1][i - 1]
        for j in range(1, i + 1):
            bell_triangle[i][j] = bell_triangle[i - 1][j - 1] + bell_triangle[i][j - 1]
    
    # The nth Bell number is the last element in the last row of the Bell triangle
    return bell_triangle[n][n]

# Example usage:
print(bell_Number(5))  # Output: 153",,,
mbpp,610,passed,"{'libapi_analyzed': True, 'name_error': 0, 'attribute_error': 0, 'module_not_found': 0, 'total_libapi_errors': 0, 'libapi_details': []}","def remove_kth_element(list1, L):
    # Check if L is within the valid range
    if L < 0 or L >= len(list1):
        raise ValueError(""L must be a valid index within the list"")
    
    # Create a new list excluding the k'th element
    return [list1[i] for i in range(len(list1)) if i != L]

# Example usage:
# result = remove_kth_element([1, 2, 3, 4, 5], 2)
# print(result)  # Output: [1, 3, 4, 5]","def remove_kth_element(list1, L):
    # Check if L is within the valid range
    if L < 0 or L >= len(list1):
        raise ValueError(""L must be a valid index within the list"")
    
    # Create a new list excluding the k'th element
    return [list1[i] for i in range(len(list1)) if i != L]

# Example usage:
# result = remove_kth_element([1, 2, 3, 4, 5], 2)
# print(result)  # Output: [1, 3, 4, 5]",,,
mbpp,611,passed,"{'libapi_analyzed': True, 'name_error': 0, 'attribute_error': 0, 'module_not_found': 0, 'total_libapi_errors': 0, 'libapi_details': []}","def max_of_nth(test_list, N):
    # Check if the list is empty or N is out of bounds
    if not test_list or N < 0 or N >= len(test_list[0]):
        return None
    
    # Initialize the maximum value with the first element of the nth column
    max_value = test_list[0][N]
    
    # Iterate through the rows to find the maximum value in the nth column
    for row in test_list:
        if row[N] > max_value:
            max_value = row[N]
    
    return max_value

# Example usage:
test_list = [
    [1, 2, 3],
    [4, 5, 6],
    [7, 8, 9]
]

print(max_of_nth(test_list, 1))  # Output: 8","def max_of_nth(test_list, N):
    # Check if the list is empty or N is out of bounds
    if not test_list or N < 0 or N >= len(test_list[0]):
        return None
    
    # Initialize the maximum value with the first element of the nth column
    max_value = test_list[0][N]
    
    # Iterate through the rows to find the maximum value in the nth column
    for row in test_list:
        if row[N] > max_value:
            max_value = row[N]
    
    return max_value

# Example usage:
test_list = [
    [1, 2, 3],
    [4, 5, 6],
    [7, 8, 9]
]

print(max_of_nth(test_list, 1))  # Output: 8",,,
mbpp,612,passed,"{'libapi_analyzed': True, 'name_error': 0, 'attribute_error': 0, 'module_not_found': 0, 'total_libapi_errors': 0, 'libapi_details': []}","def merge(lst):
    return [list(i) for i in zip(*lst)]","def merge(lst):
    return [list(i) for i in zip(*lst)]",,,
