file,size_bytes,size_mb
adapter_config.json,1061,0.001012
adapter_model.safetensors,119801528,114.251640
chat_template.jinja,2507,0.002391
lora_state_dict.pt,119914175,114.359069
README.md,5226,0.004984
tokenizer.json,11421892,10.892765
tokenizer_config.json,664,0.000633
training_args.bin,5585,0.005326

tensor_name,shape,numel,memory_bytes
base_model.model.model.layers.0.self_attn.q_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.0.self_attn.q_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.0.self_attn.k_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.0.self_attn.k_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.0.self_attn.v_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.0.self_attn.v_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.0.self_attn.o_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.0.self_attn.o_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.0.mlp.gate_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.0.mlp.gate_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.0.mlp.up_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.0.mlp.up_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.0.mlp.down_proj.lora_A.default.weight,"(16, 11008)",176128,704512
base_model.model.model.layers.0.mlp.down_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.1.self_attn.q_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.1.self_attn.q_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.1.self_attn.k_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.1.self_attn.k_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.1.self_attn.v_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.1.self_attn.v_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.1.self_attn.o_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.1.self_attn.o_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.1.mlp.gate_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.1.mlp.gate_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.1.mlp.up_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.1.mlp.up_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.1.mlp.down_proj.lora_A.default.weight,"(16, 11008)",176128,704512
base_model.model.model.layers.1.mlp.down_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.2.self_attn.q_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.2.self_attn.q_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.2.self_attn.k_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.2.self_attn.k_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.2.self_attn.v_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.2.self_attn.v_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.2.self_attn.o_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.2.self_attn.o_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.2.mlp.gate_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.2.mlp.gate_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.2.mlp.up_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.2.mlp.up_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.2.mlp.down_proj.lora_A.default.weight,"(16, 11008)",176128,704512
base_model.model.model.layers.2.mlp.down_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.3.self_attn.q_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.3.self_attn.q_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.3.self_attn.k_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.3.self_attn.k_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.3.self_attn.v_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.3.self_attn.v_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.3.self_attn.o_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.3.self_attn.o_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.3.mlp.gate_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.3.mlp.gate_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.3.mlp.up_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.3.mlp.up_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.3.mlp.down_proj.lora_A.default.weight,"(16, 11008)",176128,704512
base_model.model.model.layers.3.mlp.down_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.4.self_attn.q_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.4.self_attn.q_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.4.self_attn.k_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.4.self_attn.k_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.4.self_attn.v_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.4.self_attn.v_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.4.self_attn.o_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.4.self_attn.o_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.4.mlp.gate_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.4.mlp.gate_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.4.mlp.up_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.4.mlp.up_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.4.mlp.down_proj.lora_A.default.weight,"(16, 11008)",176128,704512
base_model.model.model.layers.4.mlp.down_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.5.self_attn.q_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.5.self_attn.q_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.5.self_attn.k_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.5.self_attn.k_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.5.self_attn.v_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.5.self_attn.v_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.5.self_attn.o_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.5.self_attn.o_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.5.mlp.gate_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.5.mlp.gate_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.5.mlp.up_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.5.mlp.up_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.5.mlp.down_proj.lora_A.default.weight,"(16, 11008)",176128,704512
base_model.model.model.layers.5.mlp.down_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.6.self_attn.q_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.6.self_attn.q_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.6.self_attn.k_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.6.self_attn.k_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.6.self_attn.v_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.6.self_attn.v_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.6.self_attn.o_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.6.self_attn.o_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.6.mlp.gate_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.6.mlp.gate_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.6.mlp.up_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.6.mlp.up_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.6.mlp.down_proj.lora_A.default.weight,"(16, 11008)",176128,704512
base_model.model.model.layers.6.mlp.down_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.7.self_attn.q_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.7.self_attn.q_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.7.self_attn.k_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.7.self_attn.k_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.7.self_attn.v_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.7.self_attn.v_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.7.self_attn.o_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.7.self_attn.o_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.7.mlp.gate_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.7.mlp.gate_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.7.mlp.up_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.7.mlp.up_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.7.mlp.down_proj.lora_A.default.weight,"(16, 11008)",176128,704512
base_model.model.model.layers.7.mlp.down_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.8.self_attn.q_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.8.self_attn.q_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.8.self_attn.k_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.8.self_attn.k_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.8.self_attn.v_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.8.self_attn.v_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.8.self_attn.o_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.8.self_attn.o_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.8.mlp.gate_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.8.mlp.gate_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.8.mlp.up_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.8.mlp.up_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.8.mlp.down_proj.lora_A.default.weight,"(16, 11008)",176128,704512
base_model.model.model.layers.8.mlp.down_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.9.self_attn.q_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.9.self_attn.q_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.9.self_attn.k_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.9.self_attn.k_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.9.self_attn.v_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.9.self_attn.v_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.9.self_attn.o_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.9.self_attn.o_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.9.mlp.gate_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.9.mlp.gate_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.9.mlp.up_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.9.mlp.up_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.9.mlp.down_proj.lora_A.default.weight,"(16, 11008)",176128,704512
base_model.model.model.layers.9.mlp.down_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.10.self_attn.q_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.10.self_attn.q_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.10.self_attn.k_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.10.self_attn.k_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.10.self_attn.v_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.10.self_attn.v_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.10.self_attn.o_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.10.self_attn.o_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.10.mlp.gate_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.10.mlp.gate_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.10.mlp.up_proj.lora_A.default.weight,"(16, 2048)",32768,131072
