dataset,task_id,status,ast_info,dynamic_info,lib_info,generated_code,patched_code,error_sources,error_types,error_lines
humaneval,HumanEval/0,passed,"{'ast_parsed': True, 'ast_errors': []}","{'status': 'passed', 'error_type': '', 'error_message': '', 'line_number': '', 'test_case': '', 'testcase_output': '', 'generated_code': 'from typing import List\r\n\r\n\r\ndef has_close_elements(numbers: List[float], threshold: float) -> bool:\r\n    """""" Check if in given list of numbers, are any two numbers closer to each other than\r\n    given threshold.\r\n    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)\r\n    False\r\n    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)\r\n    True\r\n    """"""\r\n    for i in range(len(numbers)):\r\n        for j in range(i + 1, len(numbers)):\r\n            if abs(numbers[i] - numbers[j]) < threshold:\r\n                return True\r\n    return False'}",,"from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
    for i in range(len(numbers)):
        for j in range(i + 1, len(numbers)):
            if abs(numbers[i] - numbers[j]) < threshold:
                return True
    return False","from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
    for i in range(len(numbers)):
        for j in range(i + 1, len(numbers)):
            if abs(numbers[i] - numbers[j]) < threshold:
                return True
    return False",,,
humaneval,HumanEval/1,passed,"{'ast_parsed': True, 'ast_errors': []}","{'status': 'passed', 'error_type': '', 'error_message': '', 'line_number': '', 'test_case': '', 'testcase_output': '', 'generated_code': 'from typing import List\r\n\r\ndef separate_paren_groups(paren_string: str) -> List[str]:\r\n    """""" Input to this function is a string containing multiple groups of nested parentheses. Your goal is to\r\n    separate those group into separate strings and return the list of those.\r\n    Separate groups are balanced (each open brace is properly closed) and not nested within each other\r\n    Ignore any spaces in the input string.\r\n    >>> separate_paren_groups(\'( ) (( )) (( )( ))\')\r\n    [\'()\', \'(())\', \'(()())\']\r\n    """"""\r\n    result = []\r\n    current_group = []\r\n    depth = 0\r\n\r\n    for char in paren_string.replace("" "", """"):\r\n        if char == \'(\':\r\n            depth += 1\r\n            current_group.append(char)\r\n        elif char == \')\':\r\n            depth -= 1\r\n            current_group.append(char)\r\n            if depth == 0:\r\n                result.append(\'\'.join(current_group))\r\n                current_group = []\r\n\r\n    return result\r\n\r\n# Test the function\r\nprint(separate_paren_groups(\'( ) (( )) (( )( ))\'))  # Output: [\'()\', \'(())\', \'(()())\']'}",,"from typing import List

def separate_paren_groups(paren_string: str) -> List[str]:
    """""" Input to this function is a string containing multiple groups of nested parentheses. Your goal is to
    separate those group into separate strings and return the list of those.
    Separate groups are balanced (each open brace is properly closed) and not nested within each other
    Ignore any spaces in the input string.
    >>> separate_paren_groups('( ) (( )) (( )( ))')
    ['()', '(())', '(()())']
    """"""
    result = []
    current_group = []
    depth = 0

    for char in paren_string.replace("" "", """"):
        if char == '(':
            depth += 1
            current_group.append(char)
        elif char == ')':
            depth -= 1
            current_group.append(char)
            if depth == 0:
                result.append(''.join(current_group))
                current_group = []

    return result

# Test the function
print(separate_paren_groups('( ) (( )) (( )( ))'))  # Output: ['()', '(())', '(()())']","from typing import List

def separate_paren_groups(paren_string: str) -> List[str]:
    """""" Input to this function is a string containing multiple groups of nested parentheses. Your goal is to
    separate those group into separate strings and return the list of those.
    Separate groups are balanced (each open brace is properly closed) and not nested within each other
    Ignore any spaces in the input string.
    >>> separate_paren_groups('( ) (( )) (( )( ))')
    ['()', '(())', '(()())']
    """"""
    result = []
    current_group = []
    depth = 0

    for char in paren_string.replace("" "", """"):
        if char == '(':
            depth += 1
            current_group.append(char)
        elif char == ')':
            depth -= 1
            current_group.append(char)
            if depth == 0:
                result.append(''.join(current_group))
                current_group = []

    return result

# Test the function
print(separate_paren_groups('( ) (( )) (( )( ))'))  # Output: ['()', '(())', '(()())']",,,
humaneval,HumanEval/2,passed,"{'ast_parsed': True, 'ast_errors': []}","{'status': 'passed', 'error_type': '', 'error_message': '', 'line_number': '', 'test_case': '', 'testcase_output': '', 'generated_code': 'from typing import *\r\nfrom collections import *\r\n\r\ndef truncate_number(number: float) -> float:\r\n    """""" Given a positive floating point number, it can be decomposed into\r\n    and integer part (largest integer smaller than given number) and decimals\r\n    (leftover part always smaller than 1).\r\n\r\n    Return the decimal part of the number.\r\n    >>> truncate_number(3.5)\r\n    0.5\r\n    """"""\r\n    return number - int(number)'}",,"from typing import *
from collections import *

def truncate_number(number: float) -> float:
    """""" Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the decimal part of the number.
    >>> truncate_number(3.5)
    0.5
    """"""
    return number - int(number)","from typing import *
from collections import *

def truncate_number(number: float) -> float:
    """""" Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the decimal part of the number.
    >>> truncate_number(3.5)
    0.5
    """"""
    return number - int(number)",,,
humaneval,HumanEval/3,passed,"{'ast_parsed': True, 'ast_errors': []}","{'status': 'passed', 'error_type': '', 'error_message': '', 'line_number': '', 'test_case': '', 'testcase_output': '', 'generated_code': 'from typing import List\r\n\r\ndef below_zero(operations: List[int]) -> bool:\r\n    """""" You\'re given a list of deposit and withdrawal operations on a bank account that starts with\r\n    zero balance. Your task is to detect if at any point the balance of account fallls below zero, and\r\n    at that point function should return True. Otherwise it should return False.\r\n    >>> below_zero([1, 2, 3])\r\n    False\r\n    >>> below_zero([1, 2, -4, 5])\r\n    True\r\n    """"""\r\n    balance = 0\r\n    for operation in operations:\r\n        balance += operation\r\n        if balance < 0:\r\n            return True\r\n    return False'}",,"from typing import List

def below_zero(operations: List[int]) -> bool:
    """""" You're given a list of deposit and withdrawal operations on a bank account that starts with
    zero balance. Your task is to detect if at any point the balance of account fallls below zero, and
    at that point function should return True. Otherwise it should return False.
    >>> below_zero([1, 2, 3])
    False
    >>> below_zero([1, 2, -4, 5])
    True
    """"""
    balance = 0
    for operation in operations:
        balance += operation
        if balance < 0:
            return True
    return False","from typing import List

def below_zero(operations: List[int]) -> bool:
    """""" You're given a list of deposit and withdrawal operations on a bank account that starts with
    zero balance. Your task is to detect if at any point the balance of account fallls below zero, and
    at that point function should return True. Otherwise it should return False.
    >>> below_zero([1, 2, 3])
    False
    >>> below_zero([1, 2, -4, 5])
    True
    """"""
    balance = 0
    for operation in operations:
        balance += operation
        if balance < 0:
            return True
    return False",,,
humaneval,HumanEval/4,passed,"{'ast_parsed': True, 'ast_errors': []}","{'status': 'passed', 'error_type': '', 'error_message': '', 'line_number': '', 'test_case': '', 'testcase_output': '', 'generated_code': 'from typing import List\r\n\r\n\r\ndef mean_absolute_deviation(numbers: List[float]) -> float:\r\n    """""" For a given list of input numbers, calculate Mean Absolute Deviation\r\n    around the mean of this dataset.\r\n    Mean Absolute Deviation is the average absolute difference between each\r\n    element and a centerpoint (mean in this case):\r\n    MAD = average | x - x_mean |\r\n    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])\r\n    1.0\r\n    """"""\r\n    if not numbers:\r\n        return 0.0\r\n\r\n    mean = sum(numbers) / len(numbers)\r\n    mad = sum(abs(x - mean) for x in numbers) / len(numbers)\r\n    return mad'}",,"from typing import List


def mean_absolute_deviation(numbers: List[float]) -> float:
    """""" For a given list of input numbers, calculate Mean Absolute Deviation
    around the mean of this dataset.
    Mean Absolute Deviation is the average absolute difference between each
    element and a centerpoint (mean in this case):
    MAD = average | x - x_mean |
    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])
    1.0
    """"""
    if not numbers:
        return 0.0

    mean = sum(numbers) / len(numbers)
    mad = sum(abs(x - mean) for x in numbers) / len(numbers)
    return mad","from typing import List


def mean_absolute_deviation(numbers: List[float]) -> float:
    """""" For a given list of input numbers, calculate Mean Absolute Deviation
    around the mean of this dataset.
    Mean Absolute Deviation is the average absolute difference between each
    element and a centerpoint (mean in this case):
    MAD = average | x - x_mean |
    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])
    1.0
    """"""
    if not numbers:
        return 0.0

    mean = sum(numbers) / len(numbers)
    mad = sum(abs(x - mean) for x in numbers) / len(numbers)
    return mad",,,
humaneval,HumanEval/5,passed,"{'ast_parsed': True, 'ast_errors': []}","{'status': 'passed', 'error_type': '', 'error_message': '', 'line_number': '', 'test_case': '', 'testcase_output': '', 'generated_code': 'from typing import List\r\n\r\ndef intersperse(numbers: List[int], delimeter: int) -> List[int]:\r\n    """""" Insert a number \'delimeter\' between every two consecutive elements of input list `numbers\'\r\n    >>> intersperse([], 4)\r\n    []\r\n    >>> intersperse([1, 2, 3], 4)\r\n    [1, 4, 2, 4, 3]\r\n    """"""\r\n    if not numbers:\r\n        return []\r\n    \r\n    result = []\r\n    for i in range(len(numbers)):\r\n        result.append(numbers[i])\r\n        if i < len(numbers) - 1:\r\n            result.append(delimeter)\r\n    return result'}",,"from typing import List

def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """""" Insert a number 'delimeter' between every two consecutive elements of input list `numbers'
    >>> intersperse([], 4)
    []
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
    if not numbers:
        return []
    
    result = []
    for i in range(len(numbers)):
        result.append(numbers[i])
        if i < len(numbers) - 1:
            result.append(delimeter)
    return result","from typing import List

def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """""" Insert a number 'delimeter' between every two consecutive elements of input list `numbers'
    >>> intersperse([], 4)
    []
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
    if not numbers:
        return []
    
    result = []
    for i in range(len(numbers)):
        result.append(numbers[i])
        if i < len(numbers) - 1:
            result.append(delimeter)
    return result",,,
humaneval,HumanEval/6,passed,"{'ast_parsed': True, 'ast_errors': []}","{'status': 'passed', 'error_type': '', 'error_message': '', 'line_number': '', 'test_case': '', 'testcase_output': '', 'generated_code': 'from typing import List\r\n\r\ndef parse_nested_parens(paren_string: str) -> List[int]:\r\n    """""" Input to this function is a string represented multiple groups for nested parentheses separated by spaces.\r\n    For each of the group, output the deepest level of nesting of parentheses.\r\n    E.g. (()()) has maximum two levels of nesting while ((())) has three.\r\n\r\n    >>> parse_nested_parens(\'(()()) ((())) () ((())()())\')\r\n    [2, 3, 1, 3]\r\n    """"""\r\n    result = []\r\n    for group in paren_string.split():\r\n        max_depth = 0\r\n        current_depth = 0\r\n        for char in group:\r\n            if char == \'(\':\r\n                current_depth += 1\r\n                max_depth = max(max_depth, current_depth)\r\n            elif char == \')\':\r\n                current_depth -= 1\r\n        result.append(max_depth)\r\n    return result'}",,"from typing import List

def parse_nested_parens(paren_string: str) -> List[int]:
    """""" Input to this function is a string represented multiple groups for nested parentheses separated by spaces.
    For each of the group, output the deepest level of nesting of parentheses.
    E.g. (()()) has maximum two levels of nesting while ((())) has three.

    >>> parse_nested_parens('(()()) ((())) () ((())()())')
    [2, 3, 1, 3]
    """"""
    result = []
    for group in paren_string.split():
        max_depth = 0
        current_depth = 0
        for char in group:
            if char == '(':
                current_depth += 1
                max_depth = max(max_depth, current_depth)
            elif char == ')':
                current_depth -= 1
        result.append(max_depth)
    return result","from typing import List

def parse_nested_parens(paren_string: str) -> List[int]:
    """""" Input to this function is a string represented multiple groups for nested parentheses separated by spaces.
    For each of the group, output the deepest level of nesting of parentheses.
    E.g. (()()) has maximum two levels of nesting while ((())) has three.

    >>> parse_nested_parens('(()()) ((())) () ((())()())')
    [2, 3, 1, 3]
    """"""
    result = []
    for group in paren_string.split():
        max_depth = 0
        current_depth = 0
        for char in group:
            if char == '(':
                current_depth += 1
                max_depth = max(max_depth, current_depth)
            elif char == ')':
                current_depth -= 1
        result.append(max_depth)
    return result",,,
humaneval,HumanEval/7,passed,"{'ast_parsed': True, 'ast_errors': []}","{'status': 'passed', 'error_type': '', 'error_message': '', 'line_number': '', 'test_case': '', 'testcase_output': '', 'generated_code': 'from typing import List\r\n\r\ndef filter_by_substring(strings: List[str], substring: str) -> List[str]:\r\n    """""" Filter an input list of strings only for ones that contain given substring\r\n    >>> filter_by_substring([], \'a\')\r\n    []\r\n    >>> filter_by_substring([\'abc\', \'bacd\', \'cde\', \'array\'], \'a\')\r\n    [\'abc\', \'bacd\', \'array\']\r\n    """"""\r\n    return [s for s in strings if substring in s]'}",,"from typing import List

def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring
    >>> filter_by_substring([], 'a')
    []
    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')
    ['abc', 'bacd', 'array']
    """"""
    return [s for s in strings if substring in s]","from typing import List

def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring
    >>> filter_by_substring([], 'a')
    []
    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')
    ['abc', 'bacd', 'array']
    """"""
    return [s for s in strings if substring in s]",,,
humaneval,HumanEval/8,passed,"{'ast_parsed': True, 'ast_errors': []}","{'status': 'passed', 'error_type': '', 'error_message': '', 'line_number': '', 'test_case': '', 'testcase_output': '', 'generated_code': 'from typing import List, Tuple\r\n\r\ndef sum_product(numbers: List[int]) -> Tuple[int, int]:\r\n    """""" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.\r\n    Empty sum should be equal to 0 and empty product should be equal to 1.\r\n    >>> sum_product([])\r\n    (0, 1)\r\n    >>> sum_product([1, 2, 3, 4])\r\n    (10, 24)\r\n    """"""\r\n    if not numbers:\r\n        return (0, 1)\r\n    \r\n    total_sum = sum(numbers)\r\n    total_product = 1\r\n    for num in numbers:\r\n        total_product *= num\r\n    \r\n    return (total_sum, total_product)\r\n\r\n# Test cases\r\nprint(sum_product([]))  # Output: (0, 1)\r\nprint(sum_product([1, 2, 3, 4]))  # Output: (10, 24)'}",,"from typing import List, Tuple

def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.
    Empty sum should be equal to 0 and empty product should be equal to 1.
    >>> sum_product([])
    (0, 1)
    >>> sum_product([1, 2, 3, 4])
    (10, 24)
    """"""
    if not numbers:
        return (0, 1)
    
    total_sum = sum(numbers)
    total_product = 1
    for num in numbers:
        total_product *= num
    
    return (total_sum, total_product)

# Test cases
print(sum_product([]))  # Output: (0, 1)
print(sum_product([1, 2, 3, 4]))  # Output: (10, 24)","from typing import List, Tuple

def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.
    Empty sum should be equal to 0 and empty product should be equal to 1.
    >>> sum_product([])
    (0, 1)
    >>> sum_product([1, 2, 3, 4])
    (10, 24)
    """"""
    if not numbers:
        return (0, 1)
    
    total_sum = sum(numbers)
    total_product = 1
    for num in numbers:
        total_product *= num
    
    return (total_sum, total_product)

# Test cases
print(sum_product([]))  # Output: (0, 1)
print(sum_product([1, 2, 3, 4]))  # Output: (10, 24)",,,
humaneval,HumanEval/9,passed,"{'ast_parsed': True, 'ast_errors': []}","{'status': 'passed', 'error_type': '', 'error_message': '', 'line_number': '', 'test_case': '', 'testcase_output': '', 'generated_code': 'from typing import List, Tuple\r\n\r\ndef rolling_max(numbers: List[int]) -> List[int]:\r\n    """""" From a given list of integers, generate a list of rolling maximum element found until given moment\r\n    in the sequence.\r\n    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])\r\n    [1, 2, 3, 3, 3, 4, 4]\r\n    """"""\r\n    if not numbers:\r\n        return []\r\n\r\n    max_so_far = numbers[0]\r\n    result = [max_so_far]\r\n\r\n    for num in numbers[1:]:\r\n        max_so_far = max(max_so_far, num)\r\n        result.append(max_so_far)\r\n\r\n    return result'}",,"from typing import List, Tuple

def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
    if not numbers:
        return []

    max_so_far = numbers[0]
    result = [max_so_far]

    for num in numbers[1:]:
        max_so_far = max(max_so_far, num)
        result.append(max_so_far)

    return result","from typing import List, Tuple

def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
    if not numbers:
        return []

    max_so_far = numbers[0]
    result = [max_so_far]

    for num in numbers[1:]:
        max_so_far = max(max_so_far, num)
        result.append(max_so_far)

    return result",,,
