task_id,status,suggestion
DS0000,Passed,[]
DS0001,Failed: Logic Error (Assertion failed),[]
DS0002,"Failed: ValueError: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().","[{""api"": ""Series.bool"", ""type"": ""method"", ""belongs_to"": ""Series"", ""required_params"": [""self""], ""optional_params"": [], ""description"": ""Return the bool of a single element Series or DataFrame.""}]"
DS0003,"Failed: ValueError: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().","[{""api"": ""Series.bool"", ""type"": ""method"", ""belongs_to"": ""Series"", ""required_params"": [""self""], ""optional_params"": [], ""description"": ""Return the bool of a single element Series or DataFrame.""}]"
DS0004,"Failed: IndentationError: expected an indented block after function definition on line 4 (<string>, line 5)",[]
DS0005,Failed: Logic Error (Assertion failed),[]
DS0006,"Failed: ValueError: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all().","[{""api"": ""Series.bool"", ""type"": ""method"", ""belongs_to"": ""Series"", ""required_params"": [""self""], ""optional_params"": [], ""description"": ""Return the bool of a single element Series or DataFrame.""}]"
DS0007,Failed: Logic Error (Assertion failed),[]
DS0008,Failed: Logic Error (Assertion failed),[]
DS0009,Failed: Logic Error (Assertion failed),[]
DS0010,Failed: ValueError: DataFrame index must be unique for orient='index'.,[]
DS0011,Failed: KeyError: 'datetime_column',[]
DS0012,"Failed: IndentationError: expected an indented block after function definition on line 4 (<string>, line 5)",[]
DS0013,Failed: Logic Error (Assertion failed),[]
DS0014,Failed: Logic Error (Assertion failed),[]
DS0015,"Failed: IndexError: Too many levels: Index has only 1 level, not 2",[]
DS0016,Failed: Logic Error (Assertion failed),[]
DS0017,Failed: Logic Error (Assertion failed),[]
DS0018,Failed: Logic Error (Assertion failed),[]
DS0019,Failed: Logic Error (Assertion failed),[]
DS0020,Failed: NameError: name 'result' is not defined,"[{""api"": ""nditer.reset"", ""type"": ""method"", ""belongs_to"": ""nditer"", ""required_params"": [], ""optional_params"": [], ""description"": ""reset()""}, {""api"": ""str_.rsplit"", ""type"": ""method"", ""belongs_to"": ""str_"", ""required_params"": [""self""], ""optional_params"": [""sep"", ""maxsplit""], ""description"": ""Return a list of the substrings in the string, using sep as the separator string.""}]"
DS0021,Failed: NameError: name 'result' is not defined,"[{""api"": ""nditer.reset"", ""type"": ""method"", ""belongs_to"": ""nditer"", ""required_params"": [], ""optional_params"": [], ""description"": ""reset()""}, {""api"": ""str_.rsplit"", ""type"": ""method"", ""belongs_to"": ""str_"", ""required_params"": [""self""], ""optional_params"": [""sep"", ""maxsplit""], ""description"": ""Return a list of the substrings in the string, using sep as the separator string.""}]"
DS0022,Failed: NameError: name 'result' is not defined,"[{""api"": ""nditer.reset"", ""type"": ""method"", ""belongs_to"": ""nditer"", ""required_params"": [], ""optional_params"": [], ""description"": ""reset()""}, {""api"": ""str_.rsplit"", ""type"": ""method"", ""belongs_to"": ""str_"", ""required_params"": [""self""], ""optional_params"": [""sep"", ""maxsplit""], ""description"": ""Return a list of the substrings in the string, using sep as the separator string.""}]"
DS0023,Failed: NameError: name 'result' is not defined,"[{""api"": ""nditer.reset"", ""type"": ""method"", ""belongs_to"": ""nditer"", ""required_params"": [], ""optional_params"": [], ""description"": ""reset()""}, {""api"": ""str_.rsplit"", ""type"": ""method"", ""belongs_to"": ""str_"", ""required_params"": [""self""], ""optional_params"": [""sep"", ""maxsplit""], ""description"": ""Return a list of the substrings in the string, using sep as the separator string.""}]"
DS0024,Failed: NameError: name 'result' is not defined,"[{""api"": ""nditer.reset"", ""type"": ""method"", ""belongs_to"": ""nditer"", ""required_params"": [], ""optional_params"": [], ""description"": ""reset()""}, {""api"": ""str_.rsplit"", ""type"": ""method"", ""belongs_to"": ""str_"", ""required_params"": [""self""], ""optional_params"": [""sep"", ""maxsplit""], ""description"": ""Return a list of the substrings in the string, using sep as the separator string.""}]"
DS0025,Failed: NameError: name 'result' is not defined,"[{""api"": ""nditer.reset"", ""type"": ""method"", ""belongs_to"": ""nditer"", ""required_params"": [], ""optional_params"": [], ""description"": ""reset()""}, {""api"": ""str_.rsplit"", ""type"": ""method"", ""belongs_to"": ""str_"", ""required_params"": [""self""], ""optional_params"": [""sep"", ""maxsplit""], ""description"": ""Return a list of the substrings in the string, using sep as the separator string.""}]"
DS0026,Failed: Logic Error (Assertion failed),[]
DS0027,Failed: Logic Error (Assertion failed),[]
DS0028,Failed: Logic Error (Assertion failed),[]
DS0029,Failed: Logic Error (Assertion failed),[]
DS0030,Passed,[]
DS0031,Passed,[]
DS0032,Failed: Logic Error (Assertion failed),[]
DS0033,Failed: Logic Error (Assertion failed),[]
DS0034,Failed: Logic Error (Assertion failed),[]
DS0035,Failed: Logic Error (Assertion failed),[]
DS0036,Passed,[]
DS0037,Passed,[]
DS0038,Failed: Logic Error (Assertion failed),[]
DS0039,Failed: TypeError: '<' not supported between instances of 'str' and 'int',[]
DS0040,Failed: TypeError: '<' not supported between instances of 'str' and 'int',[]
DS0041,Failed: Logic Error (Assertion failed),[]
DS0042,Failed: AttributeError: 'DataFrame' object has no attribute 'append',"[{""api"": ""Series._append"", ""type"": ""method"", ""belongs_to"": ""Series"", ""required_params"": [""self"", ""to_append""], ""optional_params"": [""ignore_index"", ""verify_integrity""], ""description"": """"}, {""api"": ""PairGrid.pipe"", ""type"": ""method"", ""belongs_to"": ""PairGrid"", ""required_params"": [""self"", ""func"", ""args"", ""kwargs""], ""optional_params"": [], ""description"": ""Pass the grid to a user-supplied function and return its value.""}]"
DS0043,Failed: Logic Error (Assertion failed),[]
DS0044,Failed: Logic Error (Assertion failed),[]
DS0045,Failed: Logic Error (Assertion failed),[]
DS0046,Failed: Logic Error (Assertion failed),[]
DS0047,Failed: AttributeError: 'DataFrame' object has no attribute 'append',"[{""api"": ""Series._append"", ""type"": ""method"", ""belongs_to"": ""Series"", ""required_params"": [""self"", ""to_append""], ""optional_params"": [""ignore_index"", ""verify_integrity""], ""description"": """"}, {""api"": ""PairGrid.pipe"", ""type"": ""method"", ""belongs_to"": ""PairGrid"", ""required_params"": [""self"", ""func"", ""args"", ""kwargs""], ""optional_params"": [], ""description"": ""Pass the grid to a user-supplied function and return its value.""}]"
